id,value
id_0,25.026537013565296
id_1,64.01102313818029
id_2,21.28626063114255
id_3,27.822161553297978
id_4,8.611768402818624
id_5,33.08943527748432
id_6,42.1149685590669
id_7,17.756374185436883
id_8,52.04070656746111
id_9,34.23608028156427
id_10,38.77625038449719
id_11,59.46292889566405
id_12,33.22131675491669
id_13,41.82502628109424
id_14,26.810094301835054
id_15,11.315785796071753
id_16,51.64535450300916
id_17,22.76986885579325
id_18,17.971330519459617
id_19,18.90622634896132
id_20,15.020931036607301
id_21,31.1930478069396
id_22,37.495190982070525
id_23,9.410184167595638
id_24,62.1109351168728
id_25,46.45003443473266
id_26,25.25151114274248
id_27,7.757416633665049
id_28,29.945256649302692
id_29,37.09097807035934
id_30,17.807952270834758
id_31,10.776333351608125
id_32,15.680840891377713
id_33,5.884373873448064
id_34,16.22522530081225
id_35,41.85919292464282
id_36,19.403389633973017
id_37,27.676472179393606
id_38,11.489957316704643
id_39,61.44996791670235
id_40,46.00196616299418
id_41,19.241639061681447
id_42,52.74847087349832
id_43,18.166093003777245
id_44,42.27247418385924
id_45,51.638575168608924
id_46,58.73488345352192
id_47,42.63348475642737
id_48,54.962425076810035
id_49,38.99287171917622
id_50,29.765196595548765
id_51,24.25007941175528
id_52,38.60063087333109
id_53,24.67452250509635
id_54,38.978490286200724
id_55,42.01871243718215
id_56,24.05349512230913
id_57,22.146762277535192
id_58,36.61636685231152
id_59,31.89385440050366
id_60,13.192650982351784
id_61,24.524639954293004
id_62,32.5566118217253
id_63,55.087307213917
id_64,51.38947980170164
id_65,26.76347003303072
id_66,37.90232784376306
id_67,53.75228317063773
id_68,29.049657263012588
id_69,36.77361819306215
id_70,65.6010880473874
id_71,55.05738209763622
id_72,43.846263557754256
id_73,11.876927385274652
id_74,12.97020578865309
id_75,35.72444005792917
id_76,62.9594433274536
id_77,1.7206324381418767
id_78,43.141577714880746
id_79,41.08030993712835
id_80,8.460671905643201
id_81,22.35672654714217
id_82,5.557611320537653
id_83,32.98429532118887
id_84,7.765237165358647
id_85,6.097959739446802
id_86,17.14318393946605
id_87,11.833991162027221
id_88,18.734390023070937
id_89,26.190194101954848
id_90,33.44239319896883
id_91,12.936919642230063
id_92,13.13261702911242
id_93,8.417573731689787
id_94,38.64418314892758
id_95,15.472227263457617
id_96,16.744446932115828
id_97,8.64980428918185
id_98,12.43804935205885
id_99,4.708388681423759
id_100,10.105226180868806
id_101,19.451116081461407
id_102,12.085108100329968
id_103,8.792319921664163
id_104,12.989288824965634
id_105,36.905645385984826
id_106,26.382825385293543
id_107,6.81373798173313
id_108,16.71313818387671
id_109,15.841571089960688
id_110,12.561378121300756
id_111,16.302254884496
id_112,15.528659499353093
id_113,26.762957272486823
id_114,20.82535985168944
id_115,16.983977415625418
id_116,7.2107400105813575
id_117,44.809840349116115
id_118,27.43797779397827
id_119,0.6133359657818005
id_120,0.9795671982347933
id_121,10.446178499765496
id_122,13.482672871488536
id_123,14.03144922570591
id_124,7.59974678269057
id_125,26.141847757081187
id_126,20.04200205011501
id_127,11.018608795545692
id_128,20.058713488256835
id_129,17.30377212629682
id_130,2.950560328359293
id_131,33.32482200539935
id_132,13.21047518758605
id_133,25.881315789164276
id_134,25.32845175787834
id_135,21.879419237938034
id_136,9.562597519461407
id_137,19.847863390869875
id_138,75.61289550835491
id_139,62.0941489628479
id_140,28.280648521131425
id_141,17.926321329375362
id_142,24.43480044032987
id_143,6.847073443352759
id_144,12.252955875882815
id_145,10.502150707815986
id_146,17.938026349357855
id_147,8.293074405638633
id_148,14.239577546697625
id_149,15.588977845283978
id_150,47.051334647386724
id_151,21.627100209537744
id_152,23.695376817804604
id_153,14.209276887978895
id_154,15.50316617293739
id_155,26.542520665433287
id_156,24.90171022866528
id_157,34.95601658270655
id_158,4.054118215834997
id_159,22.190869122852828
id_160,44.472153305016676
id_161,19.172598430317606
id_162,60.48187906333314
id_163,17.984310349481895
id_164,34.015981337314614
id_165,24.619100136632163
id_166,22.92167337833792
id_167,1.2578272136744815
id_168,66.9854902498628
id_169,17.5334056274845
id_170,16.895575250165383
id_171,70.28737438743755
id_172,21.801571045888593
id_173,2.601503431515276
id_174,26.316512008000295
id_175,1.6601074729968417
id_176,6.174150597586708
id_177,19.32119137022334
id_178,20.549555064375824
id_179,22.90844439384778
id_180,43.294465654909246
id_181,28.911915065508637
id_182,28.170136753760854
id_183,11.853895805678423
id_184,6.313573317766384
id_185,41.58497250627937
id_186,36.28855279304579
id_187,34.87523060250389
id_188,15.051489040020122
id_189,21.505893498873483
id_190,14.005692840316977
id_191,16.324664018953413
id_192,31.907629769976573
id_193,76.94561350927142
id_194,30.37954855551001
id_195,12.57017201502762
id_196,63.340588522210695
id_197,16.04337252900176
id_198,18.815520269464223
id_199,21.50154092332473
id_200,124.72566515081377
id_201,25.90395577833244
id_202,58.58500915343797
id_203,5.020164127589958
id_204,61.48544157561818
id_205,36.66473642440376
id_206,14.743400635075309
id_207,14.557092135952722
id_208,63.87281161208761
id_209,15.460726805031781
id_210,33.4399032067274
id_211,69.72401471346876
id_212,19.80723320687378
id_213,114.15135318154906
id_214,40.814292316355136
id_215,78.99901691645618
id_216,92.55642220888367
id_217,69.31832019212182
id_218,31.081045609893515
id_219,18.827633633624885
id_220,29.92892971014576
id_221,59.90597153604449
id_222,26.125315430346404
id_223,37.33206184189828
id_224,43.15470940273072
id_225,9.322601793495814
id_226,3.6183595551575305
id_227,83.40937654326576
id_228,30.478742103745564
id_229,2.2895791230795908
id_230,39.101766799881446
id_231,14.494198265612537
id_232,21.807970998840403
id_233,8.086264869781466
id_234,11.255867558712788
id_235,22.74244539911745
id_236,13.637960422699834
id_237,2.2368085104074336
id_238,20.59934060059216
id_239,8.900854099827285
