id,label
1,1
2,0
3,1
4,0
5,1
6,0
7,0
8,1
9,0
10,0
11,1
12,1
13,1
14,0
15,1
16,0
17,1
18,1
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,1
30,0
31,1
32,0
33,0
34,1
35,0
36,1
37,1
38,1
39,1
40,0
41,1
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,1
56,1
57,1
58,0
59,0
60,0
61,1
62,1
63,1
64,0
65,0
66,1
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,1
77,0
78,1
79,0
80,0
81,1
82,0
83,1
84,0
85,0
86,0
87,1
88,0
89,1
90,1
91,0
92,0
93,1
94,0
95,1
96,0
97,1
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,1
106,1
107,0
108,0
109,1
110,0
111,0
112,1
113,0
114,0
115,1
116,1
117,0
118,1
119,1
120,0
121,1
122,1
123,1
124,1
125,0
126,0
127,1
128,0
129,0
130,1
131,1
132,1
133,1
134,1
135,0
136,1
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,1
147,0
148,1
149,1
150,1
151,0
152,1
153,0
154,1
155,0
156,1
157,1
158,1
159,1
160,0
161,0
162,0
163,0
164,1
165,0
166,1
167,1
168,1
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,1
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,0
190,0
191,1
192,0
193,0
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,0
202,0
203,1
204,0
205,0
206,0
207,1
208,0
209,1
210,1
211,1
212,0
213,0
214,1
215,0
216,0
217,1
218,1
219,0
220,0
221,0
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,1
231,0
232,0
233,0
234,1
235,1
236,0
237,0
238,1
239,0
240,1
241,0
242,0
243,0
244,0
245,1
246,1
247,0
248,0
249,0
250,1
251,1
252,0
253,0
254,1
255,1
256,0
257,0
258,1
259,0
260,0
261,1
262,1
263,0
264,1
265,0
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,0
274,0
275,1
276,0
277,0
278,1
279,1
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,1
288,1
289,1
290,0
291,0
292,0
293,1
294,1
295,1
296,1
297,1
298,0
299,0
300,1
301,1
302,1
303,1
304,0
305,0
306,0
307,1
308,1
309,1
310,1
311,1
312,0
313,1
314,0
315,0
316,1
317,1
318,1
319,1
320,1
321,0
322,1
323,1
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,1
332,1
333,0
334,0
335,1
336,1
337,0
338,1
339,1
340,0
341,0
342,0
343,1
344,1
345,0
346,0
347,1
348,1
349,1
350,0
351,0
352,1
353,0
354,1
355,1
356,0
357,1
358,1
359,1
360,0
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,0
369,1
370,1
371,0
372,0
373,1
374,1
375,0
376,1
377,1
378,1
379,1
380,1
381,0
382,0
383,1
384,1
385,1
386,1
387,0
388,0
389,1
390,0
391,1
392,1
393,1
394,1
395,0
396,1
397,1
398,1
399,1
400,0
401,0
